prefix,value_label,value_label_split,value
owl,equivalentClass,"['equivalent', 'Class']",http://www.w3.org/2002/07/owl#equivalentClass
owl,equivalentProperty,"['equivalent', 'Property']",http://www.w3.org/2002/07/owl#equivalentProperty
owl,inverseOf,"['inverse', 'Of']",http://www.w3.org/2002/07/owl#inverseOf
owl,complementOf,"['complement', 'Of']",http://www.w3.org/2002/07/owl#complementOf
owl,unionOf,"['union', 'Of']",http://www.w3.org/2002/07/owl#unionOf
owl,imports,['imports'],http://www.w3.org/2002/07/owl#imports
owl,versionInfo,"['version', 'Info']",http://www.w3.org/2002/07/owl#versionInfo
owl,priorVersion,"['prior', 'Version']",http://www.w3.org/2002/07/owl#priorVersion
owl,disjointWith,"['disjoint', 'With']",http://www.w3.org/2002/07/owl#disjointWith
owl,differentFrom,"['different', 'From']",http://www.w3.org/2002/07/owl#differentFrom
owl,distinctMembers,"['distinct', 'Members']",http://www.w3.org/2002/07/owl#distinctMembers
owl,intersectionOf,"['intersection', 'Of']",http://www.w3.org/2002/07/owl#intersectionOf
owl,oneOf,"['one', 'Of']",http://www.w3.org/2002/07/owl#oneOf
owl,onProperty,"['on', 'Property']",http://www.w3.org/2002/07/owl#onProperty
owl,allValuesFrom,"['all', 'Values', 'From']",http://www.w3.org/2002/07/owl#allValuesFrom
owl,hasValue,"['has', 'Value']",http://www.w3.org/2002/07/owl#hasValue
owl,someValuesFrom,"['some', 'Values', 'From']",http://www.w3.org/2002/07/owl#someValuesFrom
owl,minCardinality,"['min', 'Cardinality']",http://www.w3.org/2002/07/owl#minCardinality
owl,maxCardinality,"['max', 'Cardinality']",http://www.w3.org/2002/07/owl#maxCardinality
owl,cardinality,['cardinality'],http://www.w3.org/2002/07/owl#cardinality
owl,backwardCompatibleWith,"['backward', 'Compatible', 'With']",http://www.w3.org/2002/07/owl#backwardCompatibleWith
owl,incompatibleWith,"['incompatible', 'With']",http://www.w3.org/2002/07/owl#incompatibleWith
owl,sameAs,"['same', 'As']",http://www.w3.org/2002/07/owl#sameAs
dbpedia-owl,deathPlace,death,http://dbpedia.org/ontology/deathPlace
dbpedia-owl,deathPlace,Place,http://dbpedia.org/ontology/deathPlace
dbpprop,deathPlace,"['death', 'Place']",http://dbpedia.org/property/deathPlace
dbpedia-owl,deathDate,death,http://dbpedia.org/ontology/deathDate
dbpedia-owl,deathDate,Date,http://dbpedia.org/ontology/deathDate
dbpprop,death,['death'],http://dbpedia.org/property/death
dbpedia-owl,birthPlace,birth,http://dbpedia.org/ontology/birthPlace
dbpedia-owl,birthPlace,Place,http://dbpedia.org/ontology/birthPlace
dbpprop,birthPlace,"['birth', 'Place']",http://dbpedia.org/property/birthPlace
dbpedia-owl,birthDate,birth,http://dbpedia.org/ontology/birthDate
dbpedia-owl,birthDate,Date,http://dbpedia.org/ontology/birthDate
dbpprop,birth,['birth'],http://dbpedia.org/property/birth
 ,wikiPageID, ,http://dbpedia.org/ontology/wikiPageID
 ,wikiPageID, ,http://dbpedia.org/ontology/wikiPageID
 ,wikiPageRevisionID, ,http://dbpedia.org/ontology/wikiPageRevisionID
 ,wikiPageRevisionID, ,http://dbpedia.org/ontology/wikiPageRevisionID
 ,wikiPageWikiLink, ,http://dbpedia.org/ontology/wikiPageWikiLink
 ,wikiPageWikiLink, ,http://dbpedia.org/ontology/wikiPageWikiLink
 ,wikiPageExternalLink, ,http://dbpedia.org/ontology/wikiPageExternalLink
 ,wikiPageExternalLink, ,http://dbpedia.org/ontology/wikiPageExternalLink
dbpprop,reference,['reference'],http://dbpedia.org/property/reference
 ,wikiPageRedirects, ,http://dbpedia.org/ontology/wikiPageRedirects
 ,wikiPageRedirects, ,http://dbpedia.org/ontology/wikiPageRedirects
dbpprop,redirect,['redirect'],http://dbpedia.org/property/redirect
 ,wikiPageDisambiguates, ,http://dbpedia.org/ontology/wikiPageDisambiguates
 ,wikiPageDisambiguates, ,http://dbpedia.org/ontology/wikiPageDisambiguates
dbpprop,"$11,000,000Architect",['Architect'],"http://dbpedia.org/property/$11,000,000Architect"
dbpprop,%22commandVehicle%22,"['command', 'Vehicle']",http://dbpedia.org/property/%22commandVehicle%22
dbpprop,%22fireRehab%22,"['fire', 'Rehab']",http://dbpedia.org/property/%22fireRehab%22
dbpprop,%23FuelElements,"['Fuel', 'Elements']",http://dbpedia.org/property/%23FuelElements
 , , ,http://dbpedia.org/property/%3Cbr/%3E(dieRedDevilsOfSomalia)Founded
dbpprop,%3Cnoinclude%3Ealign,"['Cnoinclude', 'Ealign']",http://dbpedia.org/property/%3Cnoinclude%3Ealign
dbpprop,%3Cnowiki%3E%22kimi,"['Cnowiki', 'kimi']",http://dbpedia.org/property/%3Cnowiki%3E%22kimi
dbpprop,%60born,['born'],http://dbpedia.org/property/%60born
dbpprop,&SaleMgr.,"['Sale', 'Mgr']",http://dbpedia.org/property/&SaleMgr.
dbpprop,'''coPresident'''KrishnaPrasadPokharelPeopleWhomMadeCorrespondant,"['co', 'President', 'Krishna', 'Prasad', 'Pokharel', 'People', 'Whom', 'Made', 'Correspondant']",http://dbpedia.org/property/'''coPresident'''KrishnaPrasadPokharelPeopleWhomMadeCorrespondant
dbpprop,''Name,['Name'],http://dbpedia.org/property/''Name
dbpprop,''binomialAuthority,"['binomial', 'Authority']",http://dbpedia.org/property/''binomialAuthority
dbpprop,''niagaraFallsReporter''Format,"['niagara', 'Falls', 'Reporter', 'Format']",http://dbpedia.org/property/''niagaraFallsReporter''Format
dbpprop,(1Under21)Icallireland,"['Under', 'Icallireland']",http://dbpedia.org/property/(1Under21)Icallireland
dbpprop,(b)Allstars,['Allstars'],http://dbpedia.org/property/(b)Allstars
dbpprop,(free),['free'],http://dbpedia.org/property/(free)
dbpprop,(hurling)GreenAndWhite(football)Grounds,"['hurling', 'Green', 'And', 'White', 'football', 'Grounds']",http://dbpedia.org/property/(hurling)GreenAndWhite(football)Grounds
dbpprop,(patternB,"['pattern', 'B']",http://dbpedia.org/property/(patternB
dbpprop,)Result,['Result'],http://dbpedia.org/property/)Result
